============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(113. MeV) ==> Upper Be+He Gas+Lower Be( 8.02 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  8 .9966041E+08   8020000E+01 -.9747E+05 -.3046E+05   .9999991 -.0013377  .0002985
T    2  8 .9975370E+08   8020000E+01  .2482E+05  .2174E+06   .9999871  .0030526  .0040693
T    3  8 .9968485E+08   8020000E+01 -.3223E+05 -.7474E+05   .9999987 -.0014096  .0007661
T    4  8 .9996218E+08   8020000E+01  .6266E+05 -.1712E+05   .9999967  .0021796 -.0013531
T    5  8 .9990471E+08   8020000E+01 -.2187E+05  .7169E+05   .9999997 -.0007695 -.0003003
T    6  8 .9957031E+08   8020000E+01  .2252E+06 -.1536E+06   .9999911  .0039452 -.0014806
T    7  8 .9975370E+08   8020000E+01 -.3358E+05 -.8602E+05   .9999949 -.0028510 -.0014370
T    8  8 .9987839E+08   8020000E+01  .7220E+05 -.1437E+06   .9999968  .0021122 -.0013749
T    9  8 .9988682E+08   8020000E+01  .2420E+06 -.3883E+05   .9999933  .0024152  .0027594
T   10  8 .9963341E+08   8020000E+01  .9668E+04  .2440E+05   .9999955  .0008601 -.0028589
T   11  8 .9980468E+08   8020000E+01 -.3756E+05 -.1889E+06   .9999893 -.0038871 -.0024898
T   12  8 .9985550E+08   8020000E+01  .4398E+05  .1791E+06   .9999976 -.0013365  .0017200
T   13  8 .9950934E+08   8020000E+01 -.5381E+05 -.3835E+05   .9999969 -.0024269 -.0004999
T   14  8 .9971666E+08   8020000E+01 -.1480E+06  .6861E+05   .9999930 -.0036261  .0009435
T   15  8 .9976535E+08   8020000E+01  .5521E+05  .4009E+05   .9999970  .0011598  .0021684
T   16  8 .9971009E+08   8020000E+01  .4950E+05 -.7681E+05   .9999898  .0042709 -.0014779
T   17  8 .9991729E+08   8020000E+01  .2208E+06 -.1945E+06   .9999969  .0018739 -.0016230
T   18  8 .9967853E+08   8020000E+01 -.6436E+05  .2856E+06   .9999946 -.0027446  .0018047
T   19  8 .9966694E+08   8020000E+01 -.9161E+05  .4773E+05   .9999977 -.0021036 -.0003233
T   20  8 .9965842E+08   8020000E+01  .2749E+06 -.2530E+06   .9999847  .0039517 -.0038762
T   21  8 .9952522E+08   8020000E+01 -.5731E+06 -.1361E+06   .9999404 -.0105826 -.0026829
T   22  8 .9966530E+08   8020000E+01 -.3300E+04  .8641E+05   .9999917 -.0009895  .0039562
T   23  8 .9956951E+08   8020000E+01 -.7047E+05  .8876E+05   .9999995 -.0009700 -.0003811
T   24  8 .9963401E+08   8020000E+01  .1397E+06 -.2522E+06   .9999938  .0020123 -.0028872
T   25  8 .9973107E+08   8020000E+01 -.4949E+05 -.2387E+06   .9999940 -.0015552 -.0030893
T   26  8 .1000336E+09   8020000E+01 -.1663E+06 -.2642E+05   .9999955  .0011851 -.0027455
T   27  8 .9979449E+08   8020000E+01  .2979E+05  .1378E+06   .9999974 -.0002083  .0022660
T   28  8 .9982777E+08   8020000E+01  .1150E+04  .2188E+05   .9999874  .0002960  .0050136
T   29  8 .9963876E+08   8020000E+01  .1111E+06 -.4258E+06   .9999917 -.0003639 -.0040523
T   30  8 .9975984E+08   8020000E+01  .3270E+06  .1854E+05   .9999905  .0043548  .0000433
T   31  8 .9963800E+08   8020000E+01  .1026E+06 -.2326E+05   .9999995  .0003714 -.0009068
T   32  8 .9972954E+08   8020000E+01  .3789E+05 -.1081E+06   .9999964  .0020210 -.0017753
T   33  8 .9968628E+08   8020000E+01  .2066E+05  .3856E+05   .9999947 -.0017029 -.0027901
T   34  8 .9992352E+08   8020000E+01  .6197E+05 -.8183E+05   .9999987 -.0015736  .0004498
T   35  8 .9988866E+08   8020000E+01  .2706E+05 -.1742E+06   .9999867  .0039470 -.0033055
T   36  8 .9968859E+08   8020000E+01  .2524E+06 -.1199E+06   .9999929  .0036492 -.0009248
T   37  8 .9976657E+08   8020000E+01 -.2304E+06 -.3691E+05   .9999935 -.0035930 -.0002715
T   38  8 .9952040E+08   8020000E+01 -.7125E+05  .2196E+06   .9999822 -.0024020  .0054629
T   39  8 .9958233E+08   8020000E+01 -.1312E+06 -.1266E+05   .9999903 -.0035742  .0025584
T   40  8 .9983907E+08   8020000E+01  .7050E+05 -.1225E+05   .9999994  .0009605  .0005500
T   41  8 .9976677E+08   8020000E+01  .3335E+06  .3028E+06   .9999818  .0044013  .0041177
T   42  8 .9988853E+08   8020000E+01 -.1043E+06  .1128E+06   .9999986 -.0016989 -.0000615
T   43  8 .9948453E+08   8020000E+01  .1046E+05  .2107E+05   .9999986 -.0016159  .0003257
T   44  8 .9956090E+08   8020000E+01 -.1606E+06 -.2773E+06   .9999983  .0003194  .0017937
T   45  8 .9972994E+08   8020000E+01  .1887E+06  .5203E+05   .9999957  .0025556  .0014044
T   46  8 .9963711E+08   8020000E+01  .2858E+06  .3382E+06   .9999747  .0046553  .0053707
T   47  8 .9969721E+08   8020000E+01  .5044E+05 -.6484E+05   .9999983  .0015391 -.0009939
T   48  8 .9964654E+08   8020000E+01  .4451E+05 -.5260E+05   .9999993  .0002594 -.0011907
