============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(113. MeV) ==> Upper Be+He Gas+Lower Be( 8.03 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  8 .9278855E+08   8030000E+01 -.1443E+06  .6663E+05   .9999991 -.0009420  .0009294
T    2  8 .9295140E+08   8030000E+01  .7402E+05  .1423E+06   .9998360 -.0176730 -.0039445
T    3  8 .9305249E+08   8030000E+01  .7014E+05 -.5248E+05   .9999926 -.0035289  .0015509
T    4  8 .9273485E+08   8030000E+01  .2330E+06 -.4161E+04   .9999850  .0044483  .0031990
T    5  8 .9303911E+08   8030000E+01  .1155E+06 -.3008E+05   .9999956  .0027986  .0010111
T    6  8 .9302966E+08   8030000E+01 -.1026E+06  .1015E+06   .9999954 -.0008709  .0029121
T    7  8 .9309455E+08   8030000E+01  .7706E+05  .2706E+05   .9999959  .0003876 -.0028383
T    8  8 .9298902E+08   8030000E+01  .2444E+06  .8661E+04   .9999365  .0064370 -.0092504
T    9  8 .9286619E+08   8030000E+01 -.1617E+05 -.3358E+05   .9999962  .0010055  .0025625
T   10  8 .9311446E+08   8030000E+01 -.3320E+06 -.1139E+06   .9999849 -.0050876 -.0020975
T   11  8 .9304826E+08   8030000E+01  .9634E+05  .7826E+05   .9999909  .0030351  .0029951
T   12  8 .9286735E+08   8030000E+01  .1517E+06  .1499E+06   .9999745  .0021235 -.0068165
T   13  8 .9281240E+08   8030000E+01 -.1295E+06  .1762E+06   .9999969 -.0022913 -.0009944
T   14  8 .9302673E+08   8030000E+01 -.1211E+06 -.2078E+06   .9999883 -.0012793 -.0046729
T   15  8 .9304866E+08   8030000E+01  .2148E+06 -.5753E+05   .9999875  .0050040  .0000532
T   16  8 .9284400E+08   8030000E+01  .1225E+06 -.2636E+05   .9998535  .0126806  .0114965
T   17  8 .9291128E+08   8030000E+01  .2101E+05  .1442E+05   .9999989  .0013686 -.0006078
T   18  8 .9296038E+08   8030000E+01  .1148E+06  .5586E+05   .9999883  .0024347  .0041693
T   19  8 .9280382E+08   8030000E+01 -.1470E+06  .9557E+05   .9999991 -.0009195  .0010049
T   20  8 .9318951E+08   8030000E+01 -.2069E+06  .1437E+06   .9999960 -.0022515  .0017106
T   21  8 .9297226E+08   8030000E+01  .2544E+06 -.7113E+05   .9999721  .0074623 -.0004180
T   22  8 .9292513E+08   8030000E+01 -.4752E+05 -.4198E+05   .9999998 -.0004482  .0003792
T   23  8 .9290316E+08   8030000E+01  .2733E+05 -.8367E+05   .9999975  .0010347 -.0019901
T   24  8 .9314362E+08   8030000E+01 -.1097E+06  .3754E+05   .9999972  .0015237 -.0018067
T   25  8 .9308149E+08   8030000E+01  .2097E+06 -.1170E+06   .9999909  .0041997 -.0006933
T   26  8 .9313662E+08   8030000E+01 -.3407E+06  .6444E+05   .9999933 -.0031496  .0018812
T   27  8 .9277107E+08   8030000E+01 -.6478E+05  .2331E+06   .9999951  .0019701  .0024358
T   28  8 .9302316E+08   8030000E+01 -.2265E+06 -.1312E+06   .9999796 -.0016343 -.0061732
T   29  8 .9280879E+08   8030000E+01 -.2162E+06 -.9956E+05   .9999972 -.0020541 -.0011609
T   30  8 .9309770E+08   8030000E+01 -.3773E+06 -.1568E+06   .9999932 -.0028071 -.0023817
T   31  8 .9277685E+08   8030000E+01  .1117E+06 -.1099E+06   .9999870  .0042044 -.0028822
T   32  8 .9276227E+08   8030000E+01  .3460E+06 -.2107E+06   .9999889  .0044093 -.0016565
T   33  8 .9292393E+08   8030000E+01  .3650E+05  .7907E+05   .9999724 -.0043064 -.0060558
T   34  8 .9273439E+08   8030000E+01  .3480E+05  .4187E+05   .9999984 -.0015821  .0007830
T   35  8 .9286520E+08   8030000E+01 -.1569E+06 -.3516E+05   .9999710 -.0038274 -.0065824
T   36  8 .9298156E+08   8030000E+01 -.1306E+06  .1808E+06   .9999969 -.0000712  .0025008
